product_id,product_name,category_id,supplier_id,unit_price,cost_price,stock_quantity,sku,is_active,created_at
1,M.A.C Studio Fix Fluid Foundation SPF 15 (NC40),9,7,4378.07,1063.4,823,SKU-00001,True,2026-05-01T23:14:39.573925
2,Nykaa Eyelash Curler - Classic Chrome,5,7,486.46,107.65,458,SKU-00002,True,2024-07-17T02:58:26.666157
3,Charlotte Tilbury Hollywood Flawless Filter (2 Light),9,21,4599.32,861.65,971,SKU-00003,True,2024-10-19T05:09:28.913329
4,Real Techniques Miracle Complexion Sponge - Two Pack,5,4,833.86,145.75,115,SKU-00004,True,2026-04-03T02:36:02.165256
5,Estee Lauder Double Wear Foundation (4N1 Shell Beige),9,19,4393.53,902.4,652,SKU-00005,True,2026-06-14T10:37:43.777477
6,Maybelline Lasting Drama Gel Eyeliner - Charcoal,14,3,853.35,188.41,110,SKU-00006,True,2024-08-29T13:45:15.612169
7,Maybelline Super Stay Matte Ink - Ruler,6,29,824.4,126.25,388,SKU-00007,True,2026-01-27T19:09:25.238947
8,M.A.C Matte Lipstick - Velvet Teddy,6,8,3128.01,556.31,547,SKU-00008,True,2025-01-15T12:08:04.367874
9,M.A.C Studio Fix Fluid Foundation SPF 15 (NC25),9,5,4654.28,1034.81,953,SKU-00009,True,2025-10-04T04:31:52.350198
10,Nykaa So Creme Creamy Matte Lipstick - Daily Doll,6,16,382.23,66.62,534,SKU-00010,True,2025-04-22T06:21:21.538535
11,L'Oreal Paris Voluminous Panorama Mascara - Waterproof Black,15,7,813.38,129.68,724,SKU-00011,True,2024-09-02T13:57:01.823047
12,L'Oreal Paris Glycolic Bright Skin Serum 30ml,17,14,1252.26,239.32,934,SKU-00012,True,2025-03-02T22:07:48.816859
13,M.A.C Eye Shadow Satin - Espresso,13,22,2906.04,625.8,711,SKU-00013,True,2025-11-10T12:21:12.119694
14,M.A.C Strobe Cream Hydrant (Goldlite),12,13,4686.55,1044.26,869,SKU-00014,True,2025-07-30T17:03:56.768000
15,The Ordinary Salicylic Acid 2% Solution 30ml,18,8,1167.61,197.51,599,SKU-00015,True,2026-06-02T21:19:50.972829
16,L'Oreal Paris Revitalift 1.5% Hyaluronic Acid Serum 30ml,17,14,1220.28,205.43,523,SKU-00016,True,2025-10-06T18:35:18.786239
17,Charlotte Tilbury Matte Revolution - Pillow Talk,6,30,3114.49,490.65,877,SKU-00017,True,2026-04-15T03:58:08.987589
18,Huda Beauty Nude Obsessions Mini Palette - Light,13,18,4805.68,767.9,717,SKU-00018,True,2025-06-27T08:19:16.295549
19,L'Oreal Paris Infallible Matte Resistance - Le Rouge Paris,6,27,876.11,132.71,145,SKU-00019,True,2025-08-05T02:41:16.203181
20,M.A.C Matte Lipstick - Russian Red,6,28,3111.43,540.26,466,SKU-00020,True,2025-09-29T22:51:00.155592
21,The Ordinary Squalane Cleanser 50ml,19,7,1166.43,275.82,974,SKU-00021,True,2024-12-24T09:45:52.647165
22,Maybelline Super Stay Matte Ink - Fighter,6,13,853.82,128.26,449,SKU-00022,True,2025-11-17T20:24:18.992233
23,Nykaa So Creme Creamy Matte Lipstick - Let it Glow,6,26,388.14,88.7,342,SKU-00023,True,2025-01-31T20:04:15.268554
24,M.A.C Eye Shadow Satin - Omega,13,24,2665.45,665.14,619,SKU-00024,True,2024-12-19T02:03:59.112302
25,Nykaa Eyelash Curler - Rose Gold,5,16,517.05,85.56,353,SKU-00025,True,2024-09-09T22:23:12.825307
26,Estee Lauder Advanced Night Repair Serum 30ml,17,2,5740.08,1193.47,605,SKU-00026,True,2026-06-20T13:33:30.615009
27,Charlotte Tilbury Matte Revolution - Very Victoria,6,11,3128.95,487.23,648,SKU-00027,True,2026-01-12T08:16:09.595353
28,Estee Lauder Double Wear Foundation (3W1 Tawny),9,30,4669.13,1098.52,211,SKU-00028,True,2025-12-02T02:06:52.747216
29,M.A.C Matte Lipstick - Diva,6,17,3256.54,514.57,240,SKU-00029,True,2024-09-17T07:56:36.715305
30,Real Techniques Everyday Essentials Brush Set - 4 Brushes + Sponge,5,3,2187.49,475.83,290,SKU-00030,True,2024-11-04T10:31:11.417698
31,Nykaa Matte to Last Liquid Lipstick - Bombae,6,29,403.73,83.56,642,SKU-00031,True,2025-02-09T15:58:28.262645
32,Maybelline Line Tattoo High Impact Eyeliner - Intense Black,14,20,873.68,138.21,723,SKU-00032,True,2024-07-27T01:23:42.993321
33,Maybelline Super Stay Matte Ink - Pioneer,6,17,809.76,147.08,317,SKU-00033,True,2025-02-27T20:39:26.674531
34,Nykaa Matte to Last Liquid Lipstick - Madras Kaapi,6,23,412.14,74.77,321,SKU-00034,True,2024-08-15T21:45:31.128745
35,Clinique Moisture Surge 100H Hydrator 75ml,18,22,3906.85,838.21,518,SKU-00035,True,2025-03-24T18:16:49.070497
36,M.A.C Studio Fix Fluid Foundation SPF 15 (NW20),9,25,4395.48,1070.62,59,SKU-00036,True,2025-05-16T12:27:35.478838
37,Maybelline Instant Age Rewind Eraser Concealer (130 Medium),10,19,963.3,240.45,125,SKU-00037,True,2024-12-31T07:02:11.887539
38,Real Techniques Powder Brush - Single,5,17,828.91,146.32,407,SKU-00038,True,2025-05-02T21:45:40.182891
39,L'Oreal Paris Infallible Matte Resistance - Major Crush,6,29,853.08,148.8,341,SKU-00039,True,2025-11-15T22:50:15.198826
40,L'Oreal Paris Revitalift Crystal Micro-Essence 130ml,18,27,1196.72,244.52,359,SKU-00040,True,2024-11-14T10:33:42.422039
41,L'Oreal Paris Revitalift Crystal Micro-Essence 65ml,18,26,1208.53,260.31,58,SKU-00041,True,2024-11-10T19:07:23.813853
42,Maybelline Instant Age Rewind Eraser Concealer (120 Light),10,18,996.5,179.31,729,SKU-00042,True,2025-09-24T03:09:55.408976
43,Maybelline Super Stay Matte Ink - Seductress,6,29,826.08,135.01,168,SKU-00043,True,2025-04-11T08:27:13.163568
44,Nykaa Eyes On Me 10-in-1 Eyeshadow Palette - Sunset Stroll,13,24,446.54,91.68,328,SKU-00044,True,2025-11-16T22:13:41.256260
45,The Ordinary Squalane Cleanser 150ml,19,7,1148.52,254.7,258,SKU-00045,True,2025-07-04T10:43:21.037431
46,Maybelline Fit Me Matte+Poreless Foundation (310 Sun Beige),9,28,927.86,163.67,550,SKU-00046,True,2025-09-04T21:28:53.300442
47,M.A.C Eye Shadow Satin - Brun,13,30,2750.76,645.36,144,SKU-00047,True,2024-12-22T12:30:07.289906
48,Charlotte Tilbury Airbrush Flawless Finish Powder (2 Medium),9,27,4325.2,768.45,53,SKU-00048,True,2025-10-14T21:16:58.421847
49,M.A.C Studio Fix Powder Plus Foundation (NC42),9,5,4416.61,943.88,318,SKU-00049,True,2025-06-06T14:49:56.386437
50,M.A.C Mineralize Skinfinish Highlighter (Soft & Gentle),12,15,4355.39,893.59,487,SKU-00050,True,2025-11-05T00:34:24.875000
51,Charlotte Tilbury Airbrush Flawless Finish Powder (1 Fair),9,4,4563.43,718.85,954,SKU-00051,True,2026-04-23T13:03:06.838958
52,Nykaa All Day Matte Liquid Foundation (Warm Honey),9,5,591.91,121.08,904,SKU-00052,True,2025-06-10T18:27:32.824333
53,Charlotte Tilbury Hollywood Flawless Filter (4 Medium),9,18,4516.64,744.38,180,SKU-00053,False,2025-02-01T00:30:01.535128
54,Nykaa Eyes On Me 10-in-1 Eyeshadow Palette - Beachside Peach,13,12,437.03,104.84,865,SKU-00054,True,2025-08-09T04:33:01.477468
55,Nykaa So Creme Creamy Matte Lipstick - Pretty in Pink,6,2,390.6,93.7,265,SKU-00055,True,2024-08-28T20:48:46.385086
56,M.A.C Matte Lipstick - Ruby Woo,6,22,3244.62,520.05,848,SKU-00056,True,2026-05-27T09:13:54.494021
57,The Ordinary Glycolic Acid 7% Toning Solution 240ml,18,28,1215.73,231.76,685,SKU-00057,True,2026-06-27T08:50:44.057313
58,Real Techniques Miracle Complexion Sponge - Single Pack,5,30,779.98,189.53,935,SKU-00058,True,2025-02-09T10:30:27.630224
59,Maybelline Super Stay Vinyl Ink - Cheeky,6,26,826.24,190.93,952,SKU-00059,True,2026-06-08T15:38:40.620362
60,Huda Beauty Easy Bake Setting Powder (Cherry Blossom),9,6,3219.64,720.09,390,SKU-00060,True,2025-11-22T04:05:06.027009
61,Charlotte Tilbury Hollywood Flawless Filter (3 Light-Medium),9,14,4581.77,1054.83,934,SKU-00061,True,2025-06-04T14:53:21.810513
62,Nykaa Matte to Last Liquid Lipstick - Janhavi,6,8,413.43,73.05,856,SKU-00062,True,2025-02-11T14:31:50.830312
63,The Ordinary Hyaluronic Acid 2% + B5 30ml,18,13,1180.57,280.05,929,SKU-00063,True,2026-07-05T22:20:47.769252
64,Nykaa Skin Genius Hydrating Moisturizer 50g,18,7,662.19,153.4,521,SKU-00064,True,2026-03-21T06:05:28.375992
65,L'Oreal Paris Voluminous Lash Paradise Mascara - Washable Black,15,27,848.81,194.83,283,SKU-00065,True,2024-09-21T19:41:31.611993
66,Huda Beauty Easy Bake Setting Powder (Banana Bread),9,22,3124.76,529.06,386,SKU-00066,True,2025-04-10T11:45:59.630867
67,M.A.C Mineralize Skinfinish Highlighter (Cheeky Bronze),12,3,4666.73,1151.23,335,SKU-00067,True,2025-03-25T02:58:21.515598
68,Maybelline Super Stay Vinyl Ink - Mischievous,6,17,808.05,153.5,913,SKU-00068,True,2025-02-07T00:58:19.301397
69,Maybelline Super Stay Matte Ink - Voyager,6,1,862.74,139.36,317,SKU-00069,True,2025-11-28T17:15:50.866942
